"M2","DOLARES","AMBIENTES","DORMITORIO","ANTIGUEDAD","A_ESTRENAR","FRENTE_Y_CONTRA","BAUL","COCHERA","BANIOS","LAVADERO","DEPENDENCIA","TERRAZA","BARRIOS"
70,139000,3,2,40,"","FRENTE","","",1,"SI","","TERRAZA","SAN NICOLAS"
36,70000,1,1,35,"","LATERAL","","",1,"","","","SAN NICOLAS"
42,76000,2,1,40,"","FRENTE","","",1,"SI","","","SAN NICOLAS"
38,120000,1,1,3,"","FRENTE","","",1,"SI","","TERRAZA","SAN NICOLAS"
94,215000,3,3,30,"","CONTRAFRENTE","","",2,"SI","","","SAN NICOLAS"
48,85000,2,1,40,"","INTERNO","","",1,"","","","SAN NICOLAS"
48,112000,3,2,65,"","CONTRAFRENTE","","",1,"SI","","","SAN NICOLAS"
78,160000,3,2,45,"","FRENTE","","",1,"SI","","TERRAZA","SAN NICOLAS"
33,73000,1,1,35,"","FRENTE","","",1,"","","","SAN NICOLAS"
100,160000,3,2,50,"","FRENTE","","",2,"SI","","BALCON","SAN NICOLAS"
63,139000,3,2,4,"","FRENTE","","SI",2,"SI","SI","","VILLA DEL PARQUE"
70,136000,5,4,80,"","FRENTE","","",1,"","","","SAN NICOLAS"
75,133000,3,2,65,"","FRENTE","SI","",2,"SI","SI","TERRAZA","SAN NICOLAS"
107,130000,3,2,85,"","FRENTE","","",1,"SI","SI","","SAN NICOLAS"
124,196000,4,3,70,"","FRENTE","","",2,"","","","SAN NICOLAS"
83,160000,1,1,40,"","","","",2,"","","","SAN NICOLAS"
72,100000,3,2,60,"","FRENTE","","",2,"SI","SI","TERRAZA","SAN NICOLAS"
83,160000,2,1,40,"","","","",2,"","","","SAN NICOLAS"
98,135000,2,1,80,"","","","",0,"SI","","TERRAZA","SAN NICOLAS"
122,310000,4,3,80,"","FRENTE","SI","",0,"SI","SI","BALCON TERRAZA","SAN NICOLAS"
44,73000,2,1,2,"","","","",0,"","","","VILLA DEL PARQUE"
54,84000,1,1,8,"","FRENTE","","",1,"SI","","BALCON","VILLA DEL PARQUE"
57,95000,3,2,30,"","FRENTE","SI","SI",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
110,250000,3,3,20,"","FRENTE","","",3,"SI","","BALCON","VILLA DEL PARQUE"
80,176000,4,3,80,"","FRENTE","","",1,"","","TERRAZA","SAN NICOLAS"
171,342000,4,4,80,"","CONTRAFRENTE","","",2,"","","","SAN NICOLAS"
67,119000,3,2,70,"","CONTRAFRENTE","","",2,"","","","SAN NICOLAS"
172,200000,7,6,95,"","FRENTE","","",0,"","","","SAN NICOLAS"
22,45000,1,1,35,"","CONTRAFRENTE","","",1,"","","","SAN NICOLAS"
129,137000,3,2,5,"","CONTRAFRENTE","","",2,"SI","SI","TERRAZA","VILLA DEL PARQUE"
76,174800,2,1,1,"","","","",2,"","","","VILLA DEL PARQUE"
101,206400,2,1,2,"","FRENTE","","",0,"","","BALCON","VILLA DEL PARQUE"
113,237300,3,2,2,"","LATERAL","","",0,"","","","VILLA DEL PARQUE"
121,290400,4,3,2,"","FRENTE","SI","SI",2,"SI","SI","TERRAZA","VILLA DEL PARQUE"
37,85000,2,1,45,"","","SI","",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
48,91000,2,1,20,"","","","",0,"","","","VILLA DEL PARQUE"
83,220000,3,2,15,"","","","",2,"","","BALCON","VILLA DEL PARQUE"
104,245000,4,3,5,"","CONTRAFRENTE","SI","SI",2,"SI","SI","TERRAZA","VILLA DEL PARQUE"
68,160500,3,2,15,"","FRENTE","SI","SI",0,"SI","SI","TERRAZA","VILLA DEL PARQUE"
70,156000,3,2,12,"","","","SI",1,"","","TERRAZA","VILLA DEL PARQUE"
92,245000,3,2,45,"","FRENTE","","",2,"","","","SAN NICOLAS"
123,129000,3,2,60,"","CONTRAFRENTE","","",1,"SI","","TERRAZA","SAN NICOLAS"
35,98000,2,1,40,"","LATERAL","","",0,"","","","SAN NICOLAS"
57,92000,2,1,50,"","CONTRAFRENTE","SI","",1,"","","TERRAZA","SAN NICOLAS"
120,199000,4,3,90,"","FRENTE","","",1,"","","TERRAZA","SAN NICOLAS"
49,85000,3,2,90,"","INTERNO","","",0,"","","","SAN NICOLAS"
26,65000,1,0,30,"","CONTRAFRENTE","","",0,"","","","SAN NICOLAS"
100,215000,4,3,90,"","LATERAL","","",3,"","","BALCON","SAN NICOLAS"
39,99000,2,1,2,"","FRENTE","","",0,"SI","SI","","VILLA DEL PARQUE"
58,170000,2,1,7,"","","","SI",1,"SI","","BALCON","VILLA DEL PARQUE"
130,280000,4,3,30,"","FRENTE","SI","SI",4,"SI","SI","BALCON TERRAZA","VILLA DEL PARQUE"
138,280000,4,3,25,"","FRENTE","SI","SI",2,"SI","SI","BALCON","VILLA DEL PARQUE"
86,165000,4,3,35,"","FRENTE","SI","SI",2,"SI","SI","TERRAZA","VILLA DEL PARQUE"
85,168000,4,3,30,"","FRENTE","","",2,"SI","SI","BALCON","VILLA DEL PARQUE"
46,75000,2,1,45,"","FRENTE","","",1,"SI","","BALCON","VILLA DEL PARQUE"
172,230000,2,2,6,"","FRENTE","","SI",2,"SI","","TERRAZA","VILLA DEL PARQUE"
38,67000,2,1,60,"","FRENTE","","",1,"","","","SAN NICOLAS"
46,89000,1,0,60,"","CONTRAFRENTE","","",0,"","","","SAN NICOLAS"
112,175000,4,3,70,"","FRENTE","","",1,"SI","","TERRAZA","SAN NICOLAS"
72,118000,4,3,80,"","CONTRAFRENTE","","",1,"SI","SI","","SAN NICOLAS"
44,105000,3,2,70,"","FRENTE","","",2,"","","PATIO","SAN NICOLAS"
59,109000,3,2,70,"","FRENTE","","",2,"","","TERRAZA","SAN NICOLAS"
95,230000,3,2,80,"","FRENTE","","",1,"SI","","","SAN NICOLAS"
113,155000,5,4,50,"","FRENTE","","",2,"","","TERRAZA","SAN NICOLAS"
35,75000,1,0,60,"","CONTRAFRENTE","","",0,"","","","SAN NICOLAS"
80,150000,4,2,50,"","FRENTE","","",1,"","","","SAN NICOLAS"
84,107000,4,3,56,"","CONTRAFRENTE","SI","",2,"","SI","","SAN NICOLAS"
48,120000,2,1,30,"","","","",0,"","","","SAN NICOLAS"
90,185000,2,2,50,"","INTERNO","","",0,"","","","SAN NICOLAS"
32,69900,2,1,40,"","INTERNO","","",1,"","","","SAN NICOLAS"
33,72900,1,1,35,"","LATERAL","","",1,"","","","SAN NICOLAS"
100,230000,4,3,30,"","CONTRAFRENTE","SI","SI",0,"SI","SI","BALCON","SAN NICOLAS"
20,52000,1,0,15,"","CONTRAFRENTE","","",0,"","","","SAN NICOLAS"
26,66000,1,1,37,"","INTERNO","","",1,"","","","SAN NICOLAS"
31,80000,2,1,60,"","FRENTE","","",0,"","","BALCON","SAN NICOLAS"
34,85000,3,2,60,"","FRENTE","SI","",1,"","","TERRAZA","SAN NICOLAS"
140,400000,3,3,80,"","FRENTE","","",0,"SI","","","SAN NICOLAS"
100,189000,2,2,10,"","FRENTE","","SI",2,"","","TERRAZA","VILLA DEL PARQUE"
124,290000,4,3,30,"","","SI","SI",3,"SI","SI","TERRAZA","VILLA DEL PARQUE"
63,110000,3,2,35,"","FRENTE","","",0,"SI","","","SAN NICOLAS"
113,149000,5,3,99,"","CONTRAFRENTE","SI","",2,"","","","SAN NICOLAS"
185,255000,5,4,30,"","FRENTE","","",2,"","","","SAN NICOLAS"
195,370000,5,3,90,"","LATERAL","SI","SI",3,"SI","SI","","SAN NICOLAS"
211,280000,4,3,70,"","FRENTE","SI","",2,"SI","SI","","SAN NICOLAS"
316,580000,5,4,80,"","FRENTE","","",3,"SI","SI","TERRAZA","SAN NICOLAS"
16,48000,1,1,20,"","LATERAL","","",1,"","","","SAN NICOLAS"
72,112000,4,3,70,"","CONTRAFRENTE","","",2,"","","","SAN NICOLAS"
102,140000,5,4,100,"","FRENTE","","",2,"SI","SI","TERRAZA","SAN NICOLAS"
159,320000,5,4,70,"","FRENTE","","",3,"","SI","","SAN NICOLAS"
60,138000,3,2,30,"","","","",0,"SI","SI","","SAN NICOLAS"
61,128000,4,3,55,"","CONTRAFRENTE","","",0,"","","","SAN NICOLAS"
42,65000,1,0,35,"","CONTRAFRENTE","","",0,"","","TERRAZA","SAN NICOLAS"
80,163000,5,4,85,"","CONTRAFRENTE","","",2,"SI","","PATIO","SAN NICOLAS"
121,231000,5,4,70,"","FRENTE","SI","SI",3,"SI","SI","BALCON","SAN NICOLAS"
25,60000,1,1,50,"","CONTRAFRENTE","","",1,"","","","SAN NICOLAS"
128,245000,5,2,90,"","FRENTE","SI","",2,"SI","","TERRAZA","SAN NICOLAS"
34,92000,2,1,5,"","FRENTE","SI","",1,"","","TERRAZA","VILLA DEL PARQUE"
47,87000,2,1,2,"","FRENTE","","",1,"","","TERRAZA","VILLA DEL PARQUE"
55,92000,2,1,2,"","FRENTE","","",1,"","","TERRAZA","VILLA DEL PARQUE"
